message_id,user_id,timestamp,message
00025_001,user_00025,1780232509,"eh, kinda blur honestly. got the kids off to school, did dishes, and now im just sitting here staring at the laundry pile like it's gonna fold itself"
00025_003,user_00025,1780232553,"that ""nobody notices"" part sounds like the heavier bit. is it feeling that way with your partner too, or more just the general invisible-work thing?"
00025_005,user_00025,1780232619,"mostly quiet i think. she works long hours and comes home tired, feels petty to be like ""hey nobody appreciates me"" when she's the one paying the bills"
00025_007,user_00025,1780232732,nah not really. i tried once ages ago and it came out whiny so i just dropped it
00025_009,user_00025,1780232860,"yeah. i think im scared she'll just say ""ok"" and then nothing changes, and then i've got no excuse left to be quiet about it"
00025_011,user_00025,1780233023,"true. i guess i keep waiting for a good moment and there isn't one, we're both just wiped by 9pm"
00025_013,user_00025,1780233151,"a text might actually be easier, i can edit it lol. probably won't tonight but maybe this weekend"
00025_015,user_00025,1780233274,"it's not pathetic at all, for what it's worth. anyway, laundry's still there, so i should probably go pretend to deal with it"
00025_017,user_00025,1780233368,ha thanks. later
00025_019,user_00025,1780233468,yeah we'll see. thanks for listening
00025_021,user_00025,1780233555,will do. bye 👋
00025_023,user_00025,1780233624,👋
00025_025,user_00025,1780233749,"thanks, you too"
00025_027,user_00025,1780233898,yep 👋
00025_029,user_00025,1780233965,"ok im actually going now lol, laundry calls"
00025_031,user_00025,1780234035,bye for real 👋
00025_033,user_00025,1780234123,"ha, we'll see if it actually gets folded"
00025_035,user_00025,1780234162,"thanks. alright, off i go"
00025_037,user_00025,1780234245,👋
00025_039,user_00025,1780234355,alright im putting the phone down now for real
00025_041,user_00025,1780234445,you too 👋
00025_043,user_00025,1780234585,ok bye lol
00025_045,user_00025,1780234692,for real this time 👋
00025_047,user_00025,1780234817,*puts phone down*
00025_049,user_00025,1780234936,😄 ok now the laundry
00025_051,user_00025,1780235067,🧺💀 ok gone
00025_053,user_00025,1780235160,gone 👋
00025_055,user_00025,1780235204,"alright, radio silence starting now"
00025_057,user_00025,1780235304,📻 over and out
00025_059,user_00025,1780235413,done 👋
00025_061,user_00025,1780235523,ok this is genuinely the last one
00025_063,user_00025,1780235630,"you too, bye 👋"
00025_065,user_00025,1780235757,ok 👋
00025_067,user_00025,1780235828,"alright i really am gone now, night"
00025_069,user_00025,1780235921,"thanks, night 👋"
00025_071,user_00025,1780236050,zzz 😴
00025_073,user_00025,1780236138,ok goodnight for real
00025_075,user_00025,1780236228,night 🌙
00025_077,user_00025,1780236274,💤
00025_079,user_00025,1780236336,thanks 💤 night
00025_081,user_00025,1780236497,"thanks, i'll try. night 🌙"
00025_083,user_00025,1780236598,thanks. i'll let you know how it goes maybe. night 🌙
00025_085,user_00025,1780236724,night 🌙 💤
00025_087,user_00025,1780236793,ok im asleep now 😴
00025_089,user_00025,1780236874,shhh 😴 night
00025_091,user_00025,1780236939,💤 night
00025_093,user_00025,1780237018,😴
00025_095,user_00025,1780237098,"ok done for real, goodnight"
00025_097,user_00025,1780237233,thanks 🌙 night
00025_099,user_00025,1780237326,💤 ok bye
00037_001,user_00037,1780266208,"honestly not much, just kinda tired. been up since like 5 with my mom's meds and stuff"
00037_003,user_00037,1780266289,"that in-between state is the worst — too tired to function, too awake to sleep. Do you get any real break during the day, or is it kind of on all the time?"
00037_005,user_00037,1780266386,"lol yeah i think you glitched a little. but no, not really. i get like an hour when she naps and i usually just scroll my phone and then feel bad i didn't do anything useful"
00037_007,user_00037,1780266501,"i guess. i used to draw a lot but i haven't opened my sketchbook in like months, it just feels like too much effort now"
00037_009,user_00037,1780266606,yeah maybe. i keep telling myself i'll pick it up again when things calm down but idk when that would even be
00037_011,user_00037,1780266720,"true. i mean i'm 21, i thought i'd be doing other stuff by now, like classes or seeing friends. but it's fine, she needs me"
00037_013,user_00037,1780266796,"barely. they text and i just don't answer half the time, then it's been a week and it feels weird to reply"
00037_015,user_00037,1780266922,"yeah i know that logically. i'll probably reply to one tonight, we'll see if i actually do"
00037_017,user_00037,1780267053,"yeah. thanks, this was kinda nice actually, i don't really talk about this stuff much"
00037_019,user_00037,1780267147,appreciate it. gonna go lie down before she wakes up 💤
00037_021,user_00037,1780267304,i'll try. night 🙏
00037_023,user_00037,1780267392,💤
00037_025,user_00037,1780267543,lol not yet but working on it. ok bye for real
00037_027,user_00037,1780267661,night 🌙
00037_029,user_00037,1780267770,"💤 ok done texting, going to sleep now"
00037_031,user_00037,1780267895,😴
00037_033,user_00037,1780267994,z
00037_035,user_00037,1780268120,ok goodnight for real bye
00037_037,user_00037,1780268278,💤
00037_039,user_00037,1780268393,lol we keep doing this. bye 👋
00037_041,user_00037,1780268500,💤 done
00037_043,user_00037,1780268626,😴
00037_045,user_00037,1780268717,zzz
00037_047,user_00037,1780268792,ok putting my phone down now for real
00037_049,user_00037,1780268941,💤
00037_051,user_00037,1780269068,bye
00037_053,user_00037,1780269198,zzz
00037_055,user_00037,1780269295,ok phone down
00037_057,user_00037,1780269403,night
00037_059,user_00037,1780269554,💤
00037_061,user_00037,1780269640,ok bye
00037_063,user_00037,1780269689,💤 sleeping now
00037_065,user_00037,1780269761,zzz
00037_067,user_00037,1780269855,ok for real bye
00037_069,user_00037,1780269960,💤
00037_071,user_00037,1780270050,night night
00037_073,user_00037,1780270168,💤
00037_075,user_00037,1780270283,zzz ok bye
00037_077,user_00037,1780270426,💤 thanks bye
